X,Y,OBJECTID,NAME,ADDRESS,CITY,ZIP,UPDATE_DATE,STATUS
11836218.0003852,6925992.00003412,5532,ONE MIND CHURCH,13430 MILLWOOD DRIVE,WOODBRIDGE,22191,2019/07/26 20:03:31+00,1
11827492.145401,6925922.20829006,5533,KINGDOM HALL OF JEHOVAHS WITNESSES,13207 MINNIEVILLE ROAD,WOODBRIDGE,22192,2021/08/25 20:51:35+00,1
11809874.0833046,6925646.2292818,5534,EPIPHANY LUTHERAN CHURCH,13495 KEYTONE ROAD,WOODBRIDGE,22192,2021/08/25 20:52:03+00,1
11835700.9996807,6925736.00054587,5535,WOODBRIDGE CHURCH OF THE BRETHREN,13300 MILLWOOD DRIVE,WOODBRIDGE,22191,2019/07/26 20:03:31+00,1
11823203.312885,6924094.70876835,5536,BETHEL UNITED METHODIST CHURCH,13506 MINNIEVILLE ROAD,WOODBRIDGE,22192,2021/08/25 20:52:21+00,1
11837757.9996186,6923737.50019202,5537,OUR LADY OF ANGELS CATHOLIC CHURCH,13752 MARYS WAY,WOODBRIDGE,22191,2019/07/26 20:03:31+00,1
11833688.2078708,6923121.87497544,5538,WOODBRIDGE CHURCH OF CHRIST,13815 SURREY DRIVE,WOODBRIDGE,22191,2021/08/25 20:52:39+00,1
11836573.2221455,6922402.65551877,5539,PATHWAY VINEYARD CHURCH,1550 PRINCE WILLIAM PARKWAY,WOODBRIDGE,22191,2021/08/25 20:57:39+00,1
11836101.000449,6922295.50057468,5540,GRACE LUTHERAN CHURCH,1601 PRINCE WILLIAM PARKWAY,WOODBRIDGE,22191,2019/07/26 20:03:31+00,1
11835694.8748807,6921906.72924632,5541,IMAGE CHURCH,13900 CHURCH HILL DRIVE,WOODBRIDGE,22191,2021/08/25 20:58:09+00,1
11808494.3331593,6921276.68764573,5542,DALE CITY CHRISTIAN CHURCH,14022 LINDENDALE ROAD,WOODBRIDGE,22193,2021/08/25 20:59:03+00,1
11800679.957984,6921242.62556569,5543,CONGREGATION NER SHALOM,14010 SPRIGGS ROAD,WOODBRIDGE,22193,2021/08/25 20:59:37+00,1
11825439.0000551,6920820.0000293,5544,CHRIST CHAPEL,13909 SMOKETOWN ROAD,WOODBRIDGE,22192,2020/07/31 19:57:56+00,1
11819668.0002417,6920697.99964519,5545,HOLY FAMILY CATHOLIC CHURCH,14160 FERNDALE ROAD,DALE CITY,22193,2019/07/26 20:03:31+00,1
11756708.1251111,6920076.35407661,5546,ASBURY UNITED METHODIST CHURCH,14113 FLEETWOOD DRIVE,NOKESVILLE,20182,2021/08/25 20:59:51+00,1
11800480.9527999,6919806.37135635,5547,GRACE BAPTIST CHURCH,14242 SPRIGGS ROAD,WOODBRIDGE,22193,2021/08/25 21:00:13+00,1
11825331.000311,6920213.49993274,5548,WOODBRIDGE NAZ,14001 SMOKETOWN ROAD,WOODBRIDGE,22192,2020/07/31 20:03:11+00,1
11828619.9999941,6918584.99996322,5549,HARVEST LIFE CHURCH,14401 TELEGRAPH ROAD,WOODBRIDGE,22192,2020/07/31 20:05:34+00,1
11807205.7822461,6918447.95445909,5550,ST. MARGARET'S EPISCOPAL CHURCH,5290 SARATOGA LANE,WOODBRIDGE,22193,2021/08/25 21:00:31+00,1
11811053.8961697,6916728.04149748,5551,FIRST UNITED PRESBYTERIAN CHURCH OF DALE CITY,14391 MINNIEVILLE ROAD,WOODBRIDGE,22192,2021/08/25 21:03:52+00,1
11803099.0005463,6916597.99989738,5552,HERITAGE BAPTIST CHURCH,14510 SPRIGGS ROAD,DALE CITY,22193,2019/07/26 20:03:31+00,1
11806679.5624696,6916084.49948089,5553,SOVEREIGN GRACE BAPTIST CHURCH,14703 SILVERDALE DRIVE,DALE CITY,22193,2021/08/25 21:04:15+00,1
11825964.9999276,6915401.50018425,5554,CECIL D HYLTON MEMORIAL CHAPEL,14640 POTOMAC MILLS ROAD,WOODBRIDGE,22192,2019/07/26 20:03:31+00,1
11834757.0001918,6915212.99970408,5555,COKESBURY UNITED METHODIST CHURCH,14806 BLACKBURN ROAD,WOODBRIDGE,22191,2019/07/26 20:03:31+00,1
11820802.0879228,6914514.79528743,5556,DALE CITY BAPTIST CHURCH,3501 DALE BOULEVARD,WOODBRIDGE,22192,2021/08/25 21:04:34+00,1
11835282.6424323,6914541.71215145,5557,RIVERVIEW BAPTIST CHURCH,1722 FLORIDA AVENUE,WOODBRIDGE,22191,2021/08/25 21:05:01+00,1
11823927.8125977,6914362.06287129,5558,EVANGEL BAPTIST CHURCH,14836 ASHDALE AVENUE,WOODBRIDGE,22192,2021/08/25 21:05:22+00,1
