_id,X,Y,OBJECTID,SOURCE,NAME_CODE,ALT_NAME,ZIPCODE,LINK,TYPE,CITY,ADDRESS,UPDATE_DATE,DISTRICT
114,11741451.4591278,6969800.44473763,235,40,322,,20155,https://gainesvillehs.pwcs.edu/,4,GAINESVILLE,13150 UNIVERSITY BLVD,2021/06/25 19:40:35+00,Prince William
115,11762734.3329006,6968400.54235372,236,123,323,,20109,https://innovationes.pwcs.edu/,1,MANASSAS,8250 ASHTON AVE,2023/06/29 22:00:55+00,Prince William
116,11748821.3384169,6971824.51647688,237,45,401,,20136,,10,BRISTOW,7900 PINEY BRANCH LN,2020/01/07 14:57:50+00,Prince William
117,11790849.1004898,6916019.34659138,238,45,402,,20112,,10,MANASSAS,14855 DUMFRIES RD,2020/01/07 14:57:50+00,Prince William
118,11823183.6086553,6903777.83268863,239,45,403,,22026,,10,DUMFRIES,3501 PANTHER DR,2020/01/07 14:57:50+00,Prince William
119,11763851.2437245,6936273.87366755,240,45,404,,20136,,10,BRISTOW,12153 HOOE RD,2020/01/07 14:57:50+00,Prince William
120,11741668.4249012,6971304.20354113,241,45,405,,20155,,10,GAINESVILLE,5728 WELLINGTON RD,2020/01/07 14:57:50+00,Prince William
121,11811609.7305564,6904752.67096205,637,116,69,,22025,https://washington-reid.pwcs.edu/,7,DUMFRIES,16108 DUMFRIES RD,2020/06/30 20:04:08+00,Prince William
122,11776997.0629052,6957457.25912221,638,116,31,BALDWIN INT CITY OF MANASSAS,20110,https://www.mcpsva.org/baldwinis,2,MANASSAS,1978 EAGLE WAY,2020/06/29 20:51:00+00,Manassas
123,11787185.1521091,6916637.02022479,1037,116,500,,20112,,9,MANASSAS,14715 BRISTOW RD,2020/06/29 18:18:13+00,Prince William
